#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTA_HL_121;ÎÒµÄÅóÓÑ£¬»Æ½ğ¾ÍÊÇ¸ß¹óµÄÏóÕ÷£¡;Mon ami, l'or est un signe de noblesse?;Mein Freund, Gold ist das Zeichen des Adels!;;¡Amigo mío, el oro es el signo de nobleza!;;;;;;;;;x
abandon_province;·ÅÆúÊ¡·İ;Abandonner la province;Provinz aufgeben;;Abandonar provincia;;;;;;;;;x
abandon_province_desc;ÊÇÊ±ºò·ÅÆúÕâ¿éÍÁµØ£¬Ç¨áãµ½¸ü¼Ó·ÊÎÖµÄÄÁ³¡ÁË¡£;Il est temps d'abandonner cette terre et de faire route vers de verts pâturages.;Es ist an der Zeit, dieses Land zu verlassen und ein besseres Gebiet zu finden.;;Es hora de abandonar esta tierra y pasar a pastos más verdes.;;;;;;;;;x
nomads_exploited_land;ÓÎÄÁõåõï¹ıµÄÍÁµØ;Les nomades ont exploit?la terre;Nomaden beuteten Land aus;;Tierra explotada por los nómadas;;;;;;;;;x
nomad_population_boom;ÈË¿Ú±¬Õ¨;Explosion de population;Bevölkerungsexplosion;;Auge de población;;;;;;;;;x
nomad_population_boom_spillover;ÈË¿Ú¹ıÔØÁ÷Ê§;Retombées de l'explosion de population;Begleiterscheinung Bevölkerungsexplosion;;Excesos del auge de población.;;;;;;;;;x
PROVINCE_ABANDONED_TOOLTIP;·ÅÆúÕâ¸öÊ¡·İ£¬ÈÃÒ»¸öÁÚ¹ú»ñµÃËü¡£;Abandonner le comt?et laisser un voisin s'en emparer;Provinz aufgeben und einem der Nachbarn überlassen;;Abandona la provincia y deja que se la quede uno de los vecinos.;;;;;;;;;x
ANY_SETTLEMENT;ÈÎÒâµØ²ú;N'importe quelle propriét?Beliebige Liegenschaft;;Cualquier posesión;;;;;;;;;x
CB_NAME_INSTALLKHAN;ÓµÁ¢´óº¹;Instituer un khagan;Khagan einsetzen;;Imponer kagan;;;;;;;;;x
cb_install_khan_desc;¸÷²¿×å¿ÉÒÔÎäÁ¦·Ï÷í´óº¹²¢ÓÃ¸üÓĞÊµÁ¦µÄÈË´úÌæ¡£;Les clans peuvent destituer un khan de force et le remplacer par un individu plus puissant.;Die Klans können den Khagan gewaltsam absetzen und durch einen mächtigeren Kandidaten ersetzen.;;Los clanes pueden deponer a la fuerza al kagan y sustituirlo por alguien más poderoso.;;;;;;;;;x
elephant_trample_tactic;Õ½Ïó¼ùÌ¤Õ½Êõ;Piétinement par éléphant;Elefanten-Trampelangriff;;Táctica del pisotón del elefante;;;;;;;;;x
INTERACTION_NOT_ALREADY_ENEMIES;²»ÊÇµĞÈË;N'est pas un ennemi;Kein Feind;;No es enemigo;;;;;;;;;x
CLAN_SAME_FAITH;ÏàÍ¬µÄĞÅÑö;Même religion;Gleiche Religion;;Misma fe;;;;;;;;;x
DOES_NOT_RISK_MINOR_CLAN_RISING;´Î¼¶²¿×åÎŞÅÑÂÒ·çÏÕ;Ne risque pas un soulèvement de clan mineur;Birgt KEIN Risiko des Aufstands eines kleineren Stammes;;No se arriesga a la rebelión de un clan menor;;;;;;;;;x
RISKS_MINOR_CLAN_RISING;´Î¼¶²¿×åÓĞÅÑÂÒ·çÏÕ;Risque un soulèvement de clan mineur;Birgt das Risiko eines Aufstands eines kleineren Stammes;;Arriesga la rebelión de un clan menor;;;;;;;;;x
nomad_expansion_desc;Èç¹ûÓµÓĞ×ã¹»ÍşÍû£¬ÄÜ¹»ÔÚÒ»³¡Õ½ÕùÖĞÕ÷·ş´óÆ¬Íâ¹úÍÁµØ¡£;Si nous avons suffisamment de prestige, nous pouvons conquérir de grands territoires étrangers en une seule guerre.;Wenn wir genug Prestige haben, können wir große fremde Gebiete in einem einzigen Krieg erobern.;;Si tenemos suficiente prestigio, podemos dominar grandes zonas extranjeras con una sola guerra.;;;;;;;;;x
CB_NAME_NOMAD_EXPANSION;[Title.GetBaseName]³¼·ş;Subordination de [Title.GetBaseName];Unterwerfung von [Title.GetBaseName];;Subordinación de [Title.GetBaseName];;;;;;;;;x
WAR_NAME_NOMAD_EXPANSION;$ORDER$$FIRST_ADJ$Ä¿±ê$OTHER_TITLE$µÄÕ½Õù;$ORDER$Guerre $FIRST_ADJ$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Krieg um $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ Guerra por $OTHER_TITLE$;;;;;;;;;x
POLL_TAX_DESC;ÆäËû×Ú½ÌµÄÃñÖÚÉÏ½»¼ªÆÑÇË°;La population d'autres groupes religieux paie la djizîa;Angehörige fremder Religionsgruppen zahlen eine Dschizya-Steuer.;;La población de otros grupos de religión paga el impuesto jizya;;;;;;;;;x
CLAN_SIZE;§Y²¿×åÊıÁ¿´ïµ½ÉÏÏŞ§!;§YNombre maximal de clans?;§YMax. Anzahl an Klans?;;§YNúmero máximo de clanes?;;;;;;;;;x
CLAN_SIZE_DESC;×î´ó²¿×åÊıÁ¿ÓÉÁìÍÁ´óĞ¡¾ö¶¨¡£¹ı¶à²¿×å»áÁîËùÓĞ²¿×å¶ÔÆäÁìÖ÷µÄ§Y²¿×å¹Û¸Ğ§!²úÉúÏû¼«Ó°Ïì¡£²¿×åÊıÁ¿µÄ¾ø¶Ô×î´óÖµÎª§Y$MAX$§!¸ö²¿×å£¬´ËÊ±Äã²»ÄÜ§Y·ÖÁÑ²¿×å§!²¢ÇÒÈÎºÎ±»Õ÷·şµÄ§YÓÎÄÁ§!»á³ÉÎª×ª¶ø§Y²¿Âä§!·â³¼¡£;Le nombre maximal de clans est détermin?par la taille du pays. Posséder trop de clans affecte §Yle sentiment de clan? de tous les vassaux envers leur seigneur de manière négative. De plus, le maximum absolu est de §Y$MAX$? et une fois cette limite atteinte, vous ne pouvez plus §Yscinder les clans?. Tout §Ynomade? intégr?par la suite deviendra alors un chef §Ytribal?.;Die maximale Anzahl an Klans hängt von der Größe des Reiches ab. Gibt es zu viele Klans, hat dies negative Auswirkungen auf die §YKlanmeinung? aller Klans gegenüber ihrem Herrn. Sollte die Anzahl der Klans das Maximum von §Y$MAX$? überschreiten, steht die Aktion §Y'Klan teilen'? nicht mehr zur Verfügung. Unterworfene §YNomaden? werden stattdessen zu §YStammesherrschern?.;;El número máximo de clanes est?determinado por el tamaño del reino. Tener demasiados clanes afectar?negativamente §Yel sentimiento del clan§Y de todos los clanes vasallos hacia su señor. También hay un máximo absoluto de §Y$MAX$? clanes, a partir del cual ya no puedes utilizar la interacción §YDividir clan? y en cambio, todo §Ynómada? subyugado se convertir?en un gobernante §Ytribal?.;;;;;;;;;x
#CLAN_LIMIT_FORMULA;§YAllowed Number of Clans§!;;Zul?ssige Anzahl an Klans;;N¨²mero permitido de clanes;;;;;;;;;x;
succ_nomad_succession;ÓÎÄÁ¼Ì³Ğ;Succession nomade;Nomadenerbfolge;;Sucesión nómada;;;;;;;;;x
#succ_nomad_succession_desc;Under Nomad Succession, the son or brother with the most Prestige inherits. However, the heir must be of the same culture in order to be eligible for any inheritance at all. Also, adults always have precedence over children. If the Khagan's primary heir is still a child, the child inherits the clan title but the most prestigious adult clan leader takes over the Khaganate. Other clan leaders with more Prestige than the heir always get Claims on the Khaganate.;;Bei der Nomadenerbfolge erbt derjenige Sohn oder Bruder, der das meiste Prestige hat. Allerdings muss der Kandidat zwingend der gleichen Kultur angeh?ren, um als Erbe in Frage zu kommen. Erwachsene erhalten immer den Vorzug gegen¨¹ber Kindern. Sollte der Thronfolger des Khagans noch ein Kind sein, so erbt das Kind zwar den Klan, die F¨¹hrung des Khaganats jedoch ¨¹bernimmt in diesem Fall derjenige erwachsene Klanf¨¹hrer mit dem meisten Prestige. Au?erdem erhalten alle Klanf¨¹hrer, die beim Machtwechsel mehr Prestige haben als der Erbe, immer einen Anspruch auf das Khaganat.;;Seg¨²n la sucesi¨®n n¨®mada, hereda el hijo o hermano con m¨¢s prestigio. Sin embargo, para ser elegido para cualquier herencia, el heredero debe ser de la misma cultura. Adem¨¢s, los adultos siempre tienen prioridad sobre los ni?os. Si el heredero principal de kagan es todav¨ªa un ni?o, el ni?o hereda el t¨ªtulo del clan, pero el l¨ªder de clan m¨¢s prestigioso asume el kaganato. Otros l¨ªderes de clanes con m¨¢s prestigio que el heredero siempre tendr¨¢n derecho al kaganato.;;;;;;;;;x;
recent_county_uprising;×î½üÅÑÂÒ;Soulèvement récent;Kürzlicher Aufstand;;Insurrección reciente;;;;;;;;;x
prisoner_to_oubilette;ÈÓ½øÃÜÀÎ;Jeter aux oubliettes;Ins Verlies werfen;;Tirarlo a la mazmorra;;;;;;;;;x
prisoner_to_oubilette_desc;½«§Y[Root.GetTitledFirstName]§!ÈÓ½øµØÀÎÄÚ×îÉîµÄ¶´Ñ¨Àï£¬ÍêÈ«Íüµô[Root.GetObjectPronoun]¡£Ã»ÈËÄÜ´ÓÃÜÀÎÀïÌÓÅÜ£¡£¨[Root.GetPossPronounCap]Ô¤ÆÚÊÙÃüÔÚÀïÃæ½«¼±¾çÏÂ½µ£©¡£;Faire jeter §Y[Root.GetTitledFirstName]? dans le trou le plus profond du château et oublier jusqu'?son existence. On ne s'échappe pas des oubliettes? Son espérance de vie ne sera pas bien longue l?dedans...;Lasst §Y[Root.GetTitledFirstName]? in das finsterste Loch des Kerkers werfen und dort verrotten. Ein Entkommen aus dem Verlies ist undenkbar! (Wen es dorthin verschlägt, dessen Stündlein wird sicherlich bald schlagen ...).;;Arrojar §Y[Root.GetTitledFirstName]? al pozo más profundo en la mazmorra y olvidar todo sobre [Root.GetObjectPronoun]. ¡De la mazmorra no hay salida! ([Root.GetPossPronounCap] esperanza de vida no ser?muy alta all?abajo...). ;;;;;;;;;x
prisoner_to_dungeon;×ªµ½µØÀÎ;Transférer au cachot;In eine Kerkerzelle verlegen;;Trasladarlo a celda del calabozo;;;;;;;;;x
prisoner_to_dungeon_desc;°Ñ§Y[Root.GetTitledFirstName]§!×ªµ½µØÀÎµÄµ¥¼äÀï£¬ÔÚÄÇ[Root.GetSubjectPronoun]ÎŞ·¨ÇáÒ×ÌÓÅÜ£¬»¹ÄÜ»îµÃ¾ÃÒ»Ğ©¡£;Faire transférer §Y[Root.GetTitledFirstName]? dans une cellule du cachot, d'o?[Root.GetSubjectPronoun] ne s'échappera pas facilement et aura une espérance de vie correcte.;Lasst §Y[Root.GetTitledFirstName]? in eine sichere Zelle des Kerkers verlegen. Von dort kann [Root.GetSubjectPronoun] nicht so leicht entkommen, trotzdem bleibt die Lebenserwartung im Rahmen.;;Haz trasladar a §Y[Root.GetTitledFirstName]? a una celda segura en el calabozo, donde [Root.GetSubjectPronoun] no pueda escapar fácilmente, pero con una esperanza de vida justa.;;;;;;;;;x
prisoner_to_suite;Èí½û;Transférer en résidence surveillée;Unter Hausarrest stellen;;Puesto bajo arresto domiciliario;;;;;;;;;x
prisoner_to_suite_desc;°Ñ§Y[Root.GetTitledFirstName]§!×ªÒÆµ½ÎÀ±ø°ÑÊØµÄÌ×¼äÖĞ¡£ÌÓÅÜµÄ¼¸ÂÊ»áÌáÉı£¬µ«[Root.GetSubjectPronoun]²»»áÌáÒªÇó²¢ÇÒ¿ÉÒÔ»îµÃºÜ¾Ã¡£;Faire transférer §Y[Root.GetTitledFirstName]? dans une résidence surveillée. Il est plus facile de s'en échapper, mais [Root.GetSubjectPronoun] ne manquera de rien et pourra vivre longtemps.;Lasst §Y[Root.GetTitledFirstName]? in einen bewachten Bereich mit mehreren Zimmern verlegen. Dadurch erhöht sich das Fluchtrisiko, aber [Root.GetSubjectPronoun] kann dort ein komfortables und möglicherweise langes Leben führen.;;Traslada a §Y[Root.GetTitledFirstName]? a una suite vigilada con habitaciones. Existe un mayor riesgo de fuga, pero [Root.GetSubjectPronoun] no querr?nada y puede esperar vivir mucho tiempo.;;;;;;;;;x
MODIFIER_ADDED_NO_END;§Y$WHERE$§!»ñµÃÁË¡®§Y$WHAT$§!¡¯£¬ÓµÓĞÒÔÏÂĞ§¹û£º\n$EFFECT$\n\n;§Y$WHERE$? obtient '§Y$WHAT$?', avec les effets suivants?\n$EFFECT$\n\n;§Y$WHERE$? erhält '§Y$WHAT$?', mit den folgenden Auswirkungen:\n$EFFECT$\n\n;;§Y$WHERE$? recibe '§Y$WHAT$?', dando los siguientes efectos:\n$EFFECT$\n\n;;;;;;;;;x
NOMAD_LAND_OVERRUN;§Y²¿×å¿ÊÍûÍÁµØ§!;§YExigences en terres du clan?;§YLandforderung eines Klans?;;§YDemanda de tierras de clan?;;;;;;;;;x
NOMAD_LAND_OVERRUN_DESC;¿Éº¹ÓµÓĞÍÁµØÔ¶³¬ÆäËû²¿×å¡£Ëû±ØĞë½»³ö§Y$NUM$§!ÍÁµØ£¬·ñÔò¿ÉÄÜÃæÁÙÏÖÓĞ²¿×åµÄÅÑÂÒ£¬ÉõÖÁÃæÁÙ´Î¼¶²¿×åáÈÆğµÄÅÑÂÒ£¬ÊÔÍ¼»ñÈ¡ÔÚÖ÷Á÷²¿×åÖĞµÄÕıµ±µØÎ»¡­¡­;Le khan possède trop de terres compar?aux autres clans. Il doit céder §Y$NUM$? comtés ou faire face ?une révolte des autres clans, et peut-être même voir un clan mineur accéder ?un statut de clan majeur...;Der Khan besitzt im Verhältnis zu anderen Klans zu viel Land. Er muss §Y$NUM$? Grafschaften vergeben oder er läuft das Risiko, dass bestehende Klans revoltieren oder kleinere Klans sich erheben, um ihren rechtmäßigen Platz an der Seite der größeren Klans einzufordern...;;El can posee demasiada tierra comparada con la de los otros clanes. Tiene que entregar §Y$NUM$? condados o podría enfrentarse a revueltas de los clanes existentes, o incluso ver cómo un clan menor se alza para tomar el puesto que le corresponde entre los clanes mayores...;;;;;;;;;x
#NOMAD_LAND_OVERRUN_GENERIC_DESC;If the Khagan holds too much land compared to the other Clans, it will affect their Sentiments, and there might even be risk of a minor Clan rising up to seize its rightful position among the major Clans...;;Wenn der Khagan im Verh?ltnis zu den anderen Klans zu viel Land besitzt, tr¨¹bt dies die Stimmung der Klans und es besteht das Risiko, dass kleinere Klans sich erheben, um ihren rechtm??igen Platz an der Seite der gr??eren Klans einzufordern...;;Si el kagan tiene demasiada tierra en comparaci¨®n con los otros clanes, afectar¨¢ a sus sentimientos, e incluso puede existir riesgo de un clan menor se alce para tomar el puesto que le corresponde entre los principales clanes...;;;;;;;;;x;
SENTIMENT_VS_CLAN;¶Ô§Y$CLAN$§!²¿×åµÄ¹Û¸Ğ£º;Sentiment envers le clan $CLAN$?:;Meinung gegenüber §YClan $CLAN$?:;;Sentimiento contra §YClan $CLAN$?:;;;;;;;;;x
EMPTY_PROVINCES_IN_REALM;ÁìÍÁÄÚµÄÓÎÄÁÊ¡·İ;Comtés nomades dans le pays;Leere Grafschaften in Reich;;Condados vacíos en reino;;;;;;;;;x
REVOKE_TITLE_INTERACTION_1N;ÊÕ»Ø§Y[ThirdPartyTitle.GetFullName]§!»áÏûºÄ§R$PRESTIGE$§!ÉùÍû¡£Õâ½«»á½µµÍ§Y[Recipient.GetTitledFirstName]§!¶ÔÄãµÄ§R$OPINION$§!ºÃ¸Ğ£¬ÓëÆäËû·ÇÓÎÄÁ·â³¼§R$OPINION2$§!ºÃ¸Ğ¡£;Révoquer le §Y[ThirdPartyTitle.GetFullName]? pour §R$PRESTIGE$? points de prestige. Ceci réduira l'opinion de §Y[Recipient.GetTitledFirstName]?' envers vous de §R$OPINION$? points et celles des vassaux non-nomades de §R$OPINION2$? points.;Entzieht gegen §R$PRESTIGE$? Prestige den Titel von §Y[ThirdPartyTitle.GetFullName]?. Hierdurch verringert sich die Meinung, die §Y[Recipient.GetTitledFirstName]? von Euch hat, um §R$OPINION$?. Die Meinung der anderen nicht nomadischen Vasallen verringert sich um §R$OPINION2$?.;;Revocar la §Y[ThirdPartyTitle.GetFullName]? para §R$PRESTIGE$? prestigio. ¡Esto bajar?la opinión de §Y[Recipient.GetTitledFirstName]? sobre ti por §R$OPINION$?, y otros vasallos no nómadas por §R$OPINION2$?.;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_LONG_DESC;±»ÇıÖğ³ö¾³µÄ½ÇÉ«¿ÉÒÔ»î×ÅÀë¿ª£¬µ«ËûÃÇµÄ±»ÆÈ·ÅÆúÈ«²¿Í·ÏÎ£¬²¢ÇÒ²Æ²ú½«±»Ã»ÊÕ¡£;Les personnages bannis peuvent avoir la vie sauve, mais ils doivent abdiquer leurs titres et voient leurs richesses confisquées.;Verbannte Personen kommen möglicherweise mit dem Leben davon, werden aber zur Rückgabe ihrer Titel gezwungen und ihr Reichtum wird konfisziert.;;Los personajes desterrados pueden salvar la vida, pero se ven obligados a renunciar a sus títulos y sus riquezas son confiscadas.;;;;;;;;;x
